Sigma0.4,,Sigma0.6,,Sigma0.8,,Sigma1.0,,Sigma1.2,,Sigma1.4,,Sigma1.6,,Sigma1.8,,Sigma2.0,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,-0.05254237288135587,0,-0.04491525423728808,0,-0.04067796610169485,-0.19480519480519298,-0.036446180937706296,-0.3896103896103895,-0.03221439577371774,-0.19480519480519298,-0.025429231785163924,0,-0.019491525423728742,0,-0.01355932203389823,0,-0.006779661016949084
8.37662337662338,-0.08196676205150774,7.402597402597406,-0.06250275148580227,6.038961038961043,-0.05152432313449255,8.76623376623377,-0.047209993396434016,7.597402597402597,-0.03792097732775691,11.298701298701305,-0.031036759850319097,7.597402597402597,-0.020971824785384036,4.870129870129874,-0.012574290116662924,6.233766233766238,-0.006603565925599752
15.58441558441559,-0.10972925379705034,15.97402597402598,-0.09107418005723084,12.662337662337665,-0.06574400176095085,16.558441558441565,-0.06309156944750159,16.753246753246756,-0.04867928681487996,21.81818181818182,-0.04345146379044676,16.168831168831176,-0.02496698217037193,12.467532467532473,-0.014902047105436862,15.77922077922078,-0.008028835571208377
21.42857142857143,-0.13668280871670696,24.935064935064943,-0.1255668060752806,20.45454545454546,-0.0892526964560862,24.545454545454554,-0.08320493066255773,24.935064935064943,-0.0645498569227382,30.974025974025977,-0.06014197666740033,25.519480519480524,-0.03656724631300895,21.62337662337663,-0.02142306845696669,26.4935064935065,-0.014505833149900872
26.103896103896112,-0.16027955095751698,33.50649350649351,-0.16007043803653964,31.168831168831176,-0.1245432533568126,33.311688311688314,-0.10838102575390704,32.337662337662344,-0.08467972705260834,38.57142857142858,-0.08111380145278443,31.948051948051955,-0.04909751265683461,30.584415584415588,-0.0321868809156944,35.84415584415585,-0.02780101254677518
31.168831168831176,-0.1838652872551177,41.49350649350651,-0.19967532467532462,37.597402597402606,-0.14978538410741796,40.12987012987014,-0.1327646929341844,38.766233766233775,-0.10398965441338315,45.974025974025984,-0.10632841734536642,38.96103896103897,-0.06584855822143951,37.987012987013,-0.045537090028615376,43.831168831168846,-0.04621945850759403
42.27272727272728,-0.24880585516178733,49.2857142857143,-0.2426755447941888,43.63636363636365,-0.17673343605546987,46.75324675324677,-0.16139115122165965,44.41558441558442,-0.12586396654193258,51.23376623376625,-0.12906119304424382,45.389610389610404,-0.08431102795509568,45.000000000000014,-0.0648305084745762,51.23376623376625,-0.07228153202729466
46.75324675324677,-0.2774928461369139,57.66233766233768,-0.2992185780321373,51.428571428571445,-0.2163438256658595,53.376623376623385,-0.1959498128989654,49.2857142857143,-0.14606537530266336,57.857142857142875,-0.16531476997578687,49.87012987012988,-0.10282852740479852,49.87012987012988,-0.085031917235307,57.27272727272728,-0.10007704160246525
51.62337662337664,-0.30871120405018704,63.50649350649353,-0.34820603125687866,55.71428571428572,-0.24164648910411618,57.07792207792208,-0.21787915474356143,56.4935064935065,-0.18314990094651104,61.55844155844157,-0.1906339423288575,53.18181818181819,-0.11883667180277341,55.51948051948054,-0.11029605987233099,63.89610389610391,-0.1422628219238388
55.90909090909092,-0.33909861325115553,69.74025974025976,-0.41074180057230897,58.83116883116884,-0.26698217037200084,60.97402597402599,-0.2457351970063834,60.77922077922079,-0.20930002201188636,64.67532467532469,-0.21512216596962352,59.805194805194816,-0.15678516398855374,61.75324675324677,-0.14995047325555794,66.81818181818184,-0.16167180277349763
59.41558441558443,-0.3678131190843055,,,62.72727272727275,-0.29653312788906,64.67532467532469,-0.27613911512216593,64.4805194805195,-0.2405513977547875,69.74025974025976,-0.26074180057230895,63.31168831168833,-0.18041492405899176,65.06493506493509,-0.17104336341624468,69.93506493506496,-0.18700748404138226
64.4805194805195,-0.4066530926700418,,,66.23376623376626,-0.32863746423068446,69.54545454545456,-0.32854391371340513,69.54545454545456,-0.2895608628659475,,,66.23376623376626,-0.20406119304424383,69.74025974025976,-0.20989434294519035,,
67.987012987013,-0.44214725952014083,,,69.74025974025976,-0.3658265463350209,,,,,,,69.74025974025976,-0.23362315650451237,,,,
70.12987012987014,-0.45818842174774377,,,,,,,,,,,,,,,,
